check_url,count_subdomains,check_delta_in_url,hex_char_count,hex_ratio_hostname,is_http,is_ip_address,url_length,calculate_hostname_length,contains_at_symbol,digit_ratio_in_hostname,check_hostname_entropy,calculate_vowel_ratio,calculate_consonant_ratio,count_equal_signs,count_digits_in_hostname,hyphen_ratio_in_hostname,count_dots,is_priority_port,percentage_of_characters,check_has_hostname,count_slashes,label
0,1,0,4,0.3076923076923077,0,0,22,13,0,0.0,3.3927474104487847,0.23076923076923078,0.6153846153846154,0,0,0.0,2,1,0,1,1,1
0,1,0,13,0.4642857142857143,0,0,37,28,0,0.17857142857142858,4.03914867190307,0.2857142857142857,0.42857142857142855,0,5,0.03571428571428571,2,1,0,1,1,1
0,0,0,31,0.40789473684210525,0,0,85,76,0,0.18421052631578946,4.711504408568476,0.15789473684210525,0.6052631578947368,0,14,0.013157894736842105,3,1,0,1,1,1
0,0,0,16,0.4444444444444444,0,0,45,36,0,0.1111111111111111,3.91544557203314,0.3611111111111111,0.4444444444444444,0,4,0.0,3,1,0,1,1,1
0,1,0,13,0.3611111111111111,1,0,44,36,0,0.05555555555555555,3.8746697102453482,0.4444444444444444,0.3888888888888889,0,2,0.05555555555555555,2,1,0,1,1,1
0,1,0,38,0.8372093023255814,0,0,62,43,0,0.4883720930232558,4.051394627288987,0.11627906976744186,0.32558139534883723,0,21,0.023255813953488372,3,1,0,1,1,1
0,1,0,51,0.26666666666666666,0,0,175,15,0,0.0,2.973557262275185,0.3333333333333333,0.5333333333333333,3,0,0.0,2,1,0,1,5,1
0,0,0,38,0.3684210526315789,0,0,92,19,0,0.0,3.826874881864636,0.3157894736842105,0.5789473684210527,0,0,0.05263157894736842,1,1,0,1,2,1
0,1,0,21,0.375,0,0,65,56,0,0.0,3.8719881290646803,0.30357142857142855,0.6607142857142857,0,0,0.0,2,1,0,1,1,1
0,0,0,36,0.3684210526315789,0,0,92,19,0,0.0,3.826874881864636,0.3157894736842105,0.5789473684210527,0,0,0.05263157894736842,1,1,0,1,2,1
0,1,0,36,0.8372093023255814,0,0,65,43,0,0.5116279069767442,4.1558184643976634,0.16279069767441862,0.2558139534883721,0,22,0.023255813953488372,3,1,0,1,1,1
0,1,0,4,0.17391304347826086,0,0,31,23,0,0.0,3.675310868912364,0.391304347826087,0.5217391304347826,0,0,0.0,2,1,0,1,0,1
0,0,0,27,0.35526315789473684,0,0,85,76,0,0.09210526315789473,4.72491954026129,0.13157894736842105,0.7236842105263158,0,7,0.013157894736842105,3,1,0,1,1,1
0,1,0,13,0.25,0,0,58,24,0,0.0,3.636842188131012,0.2916666666666667,0.625,0,0,0.0,3,1,0,1,3,1
0,0,0,4,0.2222222222222222,0,0,27,18,0,0.0,3.169925001442312,0.3888888888888889,0.5555555555555556,0,0,0.0,1,1,0,1,1,1
0,0,0,29,0.21739130434782608,0,0,96,23,0,0.0,3.7950885863977324,0.30434782608695654,0.5652173913043478,0,0,0.0,3,1,0,1,2,1
0,1,0,12,0.46153846153846156,0,0,35,26,0,0.23076923076923078,4.132944044980959,0.2692307692307692,0.38461538461538464,0,6,0.038461538461538464,2,1,0,1,1,1
0,0,0,2,0.2,0,0,19,10,0,0.0,3.121928094887362,0.5,0.4,0,0,0.0,1,1,0,1,1,1
0,0,0,29,0.21739130434782608,0,0,97,23,0,0.0,3.7950885863977324,0.30434782608695654,0.5652173913043478,0,0,0.0,3,1,0,1,3,1
0,1,0,11,0.3142857142857143,0,0,44,35,0,0.0,3.797020431713803,0.37142857142857144,0.5428571428571428,0,0,0.02857142857142857,2,1,0,1,1,1
0,1,0,11,0.3793103448275862,0,0,38,29,0,0.20689655172413793,4.142295219190901,0.3103448275862069,0.3793103448275862,0,6,0.034482758620689655,2,1,0,1,1,1
0,0,0,36,0.3684210526315789,0,0,93,19,0,0.0,3.826874881864636,0.3157894736842105,0.5789473684210527,0,0,0.05263157894736842,1,1,0,1,3,1
0,1,0,53,0.26666666666666666,0,0,167,15,0,0.0,2.973557262275185,0.3333333333333333,0.5333333333333333,3,0,0.0,2,1,0,1,5,1
0,0,0,15,0.36585365853658536,0,0,50,41,0,0.12195121951219512,4.375487065435391,0.24390243902439024,0.5121951219512195,0,5,0.04878048780487805,3,1,0,1,1,1
0,0,0,1,0.0,0,0,20,6,0,0.0,2.2516291673878226,0.16666666666666666,0.6666666666666666,0,0,0.0,1,1,0,1,1,1
0,0,0,28,0.35526315789473684,0,0,95,76,0,0.09210526315789473,4.767618388917034,0.17105263157894737,0.6842105263157895,0,7,0.013157894736842105,4,1,0,1,2,1
0,0,0,3,0.09090909090909091,0,0,25,11,0,0.0,3.095795255000934,0.2727272727272727,0.6363636363636364,0,0,0.0,1,1,0,1,1,1
0,0,0,9,0.42857142857142855,0,0,35,14,0,0.0,3.2359263506290334,0.5,0.42857142857142855,0,0,0.0,2,1,0,1,2,1
0,1,0,56,0.26666666666666666,0,0,175,15,0,0.0,2.973557262275185,0.3333333333333333,0.5333333333333333,3,0,0.0,2,1,0,1,5,1
0,0,0,17,0.4722222222222222,0,0,45,36,0,0.08333333333333333,3.898412848364052,0.25,0.5277777777777778,0,3,0.05555555555555555,3,1,0,1,1,1
0,0,0,6,0.25,1,0,29,12,0,0.0,2.918295834054489,0.25,0.5833333333333334,0,0,0.0,2,1,0,1,2,1
0,1,0,8,0.3333333333333333,0,0,33,24,0,0.0,3.9701755214643453,0.20833333333333334,0.7083333333333334,0,0,0.0,2,1,0,1,1,1
0,0,0,53,0.21739130434782608,0,0,135,23,0,0.0,3.7950885863977324,0.30434782608695654,0.5652173913043478,0,0,0.0,4,1,0,1,3,1
0,0,0,10,0.25,0,0,39,4,0,0.0,2.0,0.25,0.5,0,0,0.0,1,1,0,1,1,1
0,1,0,7,0.2413793103448276,0,0,38,29,0,0.0,4.021268494903765,0.3793103448275862,0.4827586206896552,0,0,0.06896551724137931,2,1,0,1,1,1
0,0,0,4,0.3,0,0,26,10,0,0.0,3.121928094887362,0.3,0.6,0,0,0.0,1,1,0,1,2,1
0,1,0,5,0.29411764705882354,0,0,26,17,0,0.0,3.4548223999466066,0.29411764705882354,0.5294117647058824,0,0,0.058823529411764705,2,1,0,1,1,1
0,0,0,26,0.3684210526315789,0,0,79,19,0,0.0,3.826874881864636,0.3157894736842105,0.5789473684210527,0,0,0.05263157894736842,1,1,0,1,2,1
0,1,0,7,0.30434782608695654,0,0,32,23,0,0.0,3.9690016298759936,0.2608695652173913,0.6521739130434783,0,0,0.0,2,1,0,1,1,1
0,0,0,172,0.7272727272727273,1,1,464,11,0,0.7272727272727273,2.845350936622437,0.0,0.0,10,8,0.0,13,1,0,1,3,1
0,1,0,6,0.23076923076923078,0,0,35,26,0,0.0,3.931208948910323,0.34615384615384615,0.5384615384615384,0,0,0.038461538461538464,2,1,0,1,1,1
0,0,0,19,0.36363636363636365,0,0,71,11,0,0.0,3.0957952550009344,0.18181818181818182,0.6363636363636364,0,0,0.09090909090909091,1,1,0,1,2,1
