check_url,count_subdomains,check_delta_in_url,hex_char_count,hex_ratio_hostname,is_http,is_ip_address,url_length,calculate_hostname_length,contains_at_symbol,digit_ratio_in_hostname,check_hostname_entropy,calculate_vowel_ratio,calculate_consonant_ratio,count_equal_signs,count_digits_in_hostname,hyphen_ratio_in_hostname,count_dots,is_priority_port,percentage_of_characters,check_has_hostname,count_slashes,check_anchor,special_char_count,param_count,contains_suspicious_keyword,subdomain_count,contains_mailto,numeric_to_alpha_ratio,label
0,1,0,9,0.2,0,0,43,15,0,0.0,3.1898980954642866,0.3333333333333333,0.5333333333333333,1,0,0.0,2,1,0,1,1,0,5,1,0,1,0,0.0625,0
0,1,0,17,0.10526315789473684,0,0,76,19,0,0.0,3.050301855434981,0.21052631578947367,0.6842105263157895,2,0,0.0,3,1,0,1,2,0,8,2,0,1,0,0.0,0
0,1,0,20,0.15384615384615385,0,0,65,13,0,0.0,2.873140679513133,0.23076923076923078,0.6153846153846154,0,0,0.0,2,1,0,1,1,0,10,0,0,1,0,0.1951219512195122,0
0,1,0,14,0.35294117647058826,0,0,42,17,0,0.0,3.454822399946607,0.23529411764705882,0.6470588235294118,0,0,0.0,2,1,0,1,3,0,5,0,0,1,0,0.21428571428571427,0
0,1,0,5,0.2,0,0,34,25,0,0.0,3.6234651896016463,0.36,0.56,0,0,0.0,2,1,0,1,1,0,3,0,0,1,0,0.0,0
0,1,0,19,0.15384615384615385,0,0,71,26,0,0.0,3.6423714487439023,0.23076923076923078,0.6923076923076923,1,0,0.0,3,1,0,1,2,0,6,1,0,1,0,0.10909090909090909,0
0,1,0,9,0.4166666666666667,0,0,41,12,0,0.0,2.625814583693911,0.16666666666666666,0.6666666666666666,0,0,0.0,2,1,0,1,2,0,4,0,0,1,0,0.0,0
0,0,0,7,0.14285714285714285,0,0,51,14,0,0.0,2.9852281360342516,0.21428571428571427,0.5714285714285714,0,0,0.0,3,1,0,1,2,0,4,0,0,2,0,0.0,0
0,0,0,29,0.17391304347826086,0,0,94,23,0,0.0,3.4685766296878655,0.21739130434782608,0.6521739130434783,0,0,0.0,3,1,0,1,3,0,5,0,0,2,0,0.11428571428571428,0
0,1,0,27,0.16,0,0,121,25,0,0.0,3.703465189601646,0.28,0.64,0,0,0.0,3,1,0,1,7,0,9,0,0,1,0,0.04040404040404041,0
